--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503920,0,71,42,855,21428,20,5190,5093,2.000000,21428
503921,0,80,44,896,21428,20,5190,5334,2.000000,21428
503922,0,73,46,938,21428,20,5190,5585,2.000000,21428
503923,0,73,48,977,21428,20,5190,5821,2.000000,21428
503924,0,66,50,1017,21428,20,5190,6058,2.000000,21428
503925,0,71,52,1058,21428,20,5190,6301,2.000000,21428
503926,0,83,54,1097,21428,20,5190,6535,2.000000,21428
503927,0,69,56,1139,21428,20,5190,6780,2.000000,21428
503928,0,65,58,1178,21428,20,5190,7016,2.000000,21428
503929,0,73,60,1219,21428,20,5190,7260,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503931 angle=1260 pat=6->7 dist=0
503930,0,134,63,1260,21428,20,5190,7503,2.000000,21428
503931,0,69,65,1310,21428,20,5190,7798,2.000000,21428
503932,0,66,67,1349,21428,20,5190,8031,2.000000,21428
503933,0,73,69,1390,21428,20,5190,8275,2.000000,21428
503934,0,74,71,1430,21428,20,5190,8516,2.000000,21428
503935,0,70,73,1471,21428,20,5190,8759,2.000000,21428
503936,0,65,75,1510,21428,20,5190,8992,2.000000,21428
503937,0,70,77,1551,21428,20,5190,9234,2.000000,21428
503938,0,83,79,1588,21428,20,5190,9458,2.000000,21428
503939,0,68,81,1630,21428,20,5190,9705,2.000000,21428
503940,0,65,83,1671,21428,20,5190,9951,2.000000,21428
503941,0,72,85,1711,21428,20,5190,10188,2.000000,21428
503942,0,82,87,1750,21428,20,5190,10421,2.000000,21428
503943,0,75,89,1794,21428,20,5190,10682,2.000000,21428
503944,0,67,91,1834,21428,20,5190,10921,2.000000,21428
503945,0,69,93,1873,21428,20,5190,11153,2.000000,21428
503946,0,66,95,1915,21428,20,5190,11401,2.000000,21428
503947,0,73,97,1956,21428,20,5190,11646,2.000000,21428
503948,0,74,99,1995,21428,20,5190,11879,2.000000,21428
503949,0,72,101,2036,21428,20,5190,12120,2.000000,21428
503950,0,71,103,2079,21428,20,5190,12376,2.000000,21428
503951,0,72,106,2120,21428,20,5190,12621,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503953 angle=2160 pat=11->12 dist=0
503952,0,173,108,2160,21428,20,5190,12861,2.000000,21428
503953,0,69,110,2217,21428,20,5190,13200,2.000000,21428
503954,0,72,112,2256,21428,20,5190,13433,2.000000,21428
503955,0,70,114,2298,21428,20,5190,13683,2.000000,21428
503956,0,75,116,2337,21428,20,5190,13916,2.000000,21428
503957,0,69,118,2379,21428,20,5190,14163,2.000000,21428
503958,0,83,120,2418,21428,20,5190,14395,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503960 angle=2702 pat=14->15 dist=2
503959,0,168,123,2462,21428,20,5190,14655,2.000000,21428
503960,0,66,125,2516,21428,20,5190,14980,2.000000,21428
503961,0,71,127,2559,21428,20,5190,15237,2.000000,21428
503962,0,65,129,2597,21428,20,5190,15463,2.000000,21428
FLICKER@288: arm2 frame=503964 angle=2881 pat=15->16 dist=1
503963,0,133,132,2641,21428,20,5190,15721,2.000000,21428
